id,codigo,nome,municipio,codigo_municipio,regional,codigo_regional,endereco,numero,bairro,cep,telefone,email,tipo,modalidade,ensino_fundamental,ensino_medio,educacao_infantil,educacao_especial,total_alunos,total_professores,total_pedagogos,total_turmas,tcgps,nome_tcgp,email_tcgp,serie1_alunos,serie1_turmas,serie2_alunos,serie2_turmas,serie3_alunos,serie3_turmas,serie4_alunos,serie4_turmas,serie5_alunos,serie5_turmas,meta_idebes_alfa_2024,idebes_alfa_2024,meta_idebes_alfa_2025,ativo
11,1011,EEEFM Rafael Martins,Baixo Guandu,3200805,SRE Colatina,02,Rua das Palmeiras,800,Centro,29700-300,273333-1112,escola.rafaelmartins@edu.es.gov.br,Estadual,Regular,true,true,false,false,560,12,12,47,1,Mariana Costa,mariana.costa@edu.es.gov.br,136,8,128,8,116,8,100,6,80,6,6.7,6.9,7.3,true
12,1012,EEEFM Camila Rodrigues,Colatina,3201506,SRE Colatina,02,Av. Central,900,Vila Nova,29700-400,273333-2223,escola.camilarodrigues@edu.es.gov.br,Estadual,Regular,true,true,false,false,600,13,13,50,1,Mariana Costa,mariana.costa@edu.es.gov.br,148,9,140,9,128,9,112,7,72,5,7.1,7.3,7.7,true
13,1013,EEEFM Gabriel Silva,Baixo Guandu,3200805,SRE Colatina,02,Rua Tiradentes,1000,Centro,29700-500,273333-3334,escola.gabrielsilva@edu.es.gov.br,Estadual,Regular,true,false,false,false,380,8,8,32,1,Mariana Costa,mariana.costa@edu.es.gov.br,92,5,88,5,80,5,64,4,56,4,6.0,6.2,6.6,true
14,1014,EEEFM Larissa Costa,Colatina,3201506,SRE Colatina,02,Av. Brasil,1100,Bairro Alto,29700-600,273333-4445,escola.larissacosta@edu.es.gov.br,Estadual,Regular,true,true,false,false,640,14,14,53,1,Mariana Costa,mariana.costa@edu.es.gov.br,156,9,148,9,136,9,120,8,80,6,7.2,7.4,7.8,true
15,1015,EEEFM Thiago Oliveira,Baixo Guandu,3200805,SRE Colatina,02,Rua XV de Novembro,1200,Centro,29700-700,273333-5556,escola.thiagooliveira@edu.es.gov.br,Estadual,Regular,true,true,false,false,580,13,13,48,1,Mariana Costa,mariana.costa@edu.es.gov.br,144,8,136,8,124,8,104,7,72,5,6.8,7.0,7.4,true
16,1016,EEEFM Marina Santos,Colatina,3201506,SRE Colatina,02,Av. Principal,1300,Vila Esperança,29700-800,273333-6667,escola.marinasantos@edu.es.gov.br,Estadual,Regular,true,false,false,false,400,9,9,33,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,96,5,92,5,84,5,68,4,60,4,6.2,6.4,6.8,true
17,1017,EEEFM Bruno Mendes,Colatina,3201506,SRE Colatina,02,Rua São Paulo,1400,Centro,29700-900,273333-7778,escola.brunomendes@edu.es.gov.br,Estadual,Regular,true,true,false,false,620,14,14,52,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,152,9,144,9,132,9,112,7,80,6,7.0,7.2,7.6,true
18,1018,EEEFM Isabella Ferreira,Colatina,3201506,SRE Colatina,02,Av. Central,1500,Bairro Novo,29701-000,273333-8889,escola.isabellaferreira@edu.es.gov.br,Estadual,Regular,true,true,false,false,580,13,13,48,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,144,8,136,8,124,8,104,7,72,5,6.8,7.0,7.4,true
19,1019,EEEFM Daniel Alves,Colatina,3201506,SRE Colatina,02,Rua das Flores,1600,Centro,29701-100,273333-9990,escola.danielalves@edu.es.gov.br,Estadual,Regular,true,false,false,false,360,8,8,30,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,88,4,84,4,76,4,64,4,48,3,5.9,6.1,6.5,true
20,1020,EEEFM Sofia Lima,Colatina,3201506,SRE Colatina,02,Av. Sete de Setembro,1700,Vila Nova,29701-200,273333-1011,escola.sofialima@edu.es.gov.br,Estadual,Regular,true,true,false,false,600,13,13,50,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,148,9,140,9,128,9,112,7,72,5,7.1,7.3,7.7,true
22,1022,EEEFM Santa Rita,Brejetuba,3201159,SRE Afonso Cláudio,01,Rua das Acácias,1900,Centro,29630-300,273333-3033,escola.santarita@edu.es.gov.br,Estadual,Regular,true,false,false,false,320,7,7,27,1,Ana Paula Silva,ana.paula.silva@edu.es.gov.br,78,4,74,4,68,4,56,4,44,3,5.6,5.8,6.3,true
23,1023,EEEFM João Batista,Colatina,3201506,SRE Colatina,02,Rua dos Estudantes,2000,Centro,29701-300,273333-4044,escola.joaobatista@edu.es.gov.br,Estadual,Regular,true,true,false,false,520,12,12,43,1,Mariana Costa,mariana.costa@edu.es.gov.br,128,8,120,8,108,8,96,6,68,5,6.5,6.7,7.1,true
24,1024,EEEFM Maria da Conceição,Colatina,3201506,SRE Colatina,02,Av. Brasil,2100,Bairro Novo,29701-400,273333-5055,escola.mariaconceicao@edu.es.gov.br,Estadual,Regular,true,false,false,false,340,8,8,28,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,84,5,80,5,72,5,60,4,44,3,5.8,6.0,6.5,true
25,1025,EEEFM Antônio Carlos,Colatina,3201506,SRE Colatina,02,Rua São José,2200,Vila Nova,29701-500,273333-6066,escola.antoniocarlos@edu.es.gov.br,Estadual,Regular,true,true,false,false,440,10,10,37,1,Mariana Costa,mariana.costa@edu.es.gov.br,108,6,100,6,92,6,80,5,60,4,6.2,6.4,6.8,true
26,1026,EEEFM Paulo Freire,Colatina,3201506,SRE Colatina,02,Av. Central,2300,Centro,29701-600,273333-7077,escola.paulofreire@edu.es.gov.br,Estadual,Regular,true,true,false,false,560,13,13,47,1,João Pedro Oliveira,joao.pedro.oliveira@edu.es.gov.br,136,8,128,8,116,8,100,6,80,6,6.7,6.9,7.3,true
