escola_id,escola_nome,regional,municipio,turma,data,dia_letivo,aulas_previstas_LP,aulas_previstas_Mat,aulas_previstas_Ciencias,aulas_previstas_Historia,aulas_previstas_Geografia,aulas_dadas_LP,aulas_dadas_Mat,aulas_dadas_Ciencias,aulas_dadas_Historia,aulas_dadas_Geografia
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-07,25,2,1,1,0,1,1,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-10,26,2,1,1,1,1,2,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-11,27,1,2,0,0,3,0,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-12,28,2,1,1,0,2,2,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-13,29,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-14,30,2,1,1,0,1,2,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-17,31,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-18,32,1,2,0,1,2,1,2,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-19,33,2,1,1,1,0,2,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-20,34,1,2,1,0,2,1,2,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-21,35,1,2,0,1,2,1,2,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-24,36,1,2,0,1,1,1,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-25,37,2,1,0,1,2,2,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-26,38,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-27,39,1,2,0,0,2,1,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-28,40,1,1,1,1,1,1,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-31,41,1,2,0,0,2,1,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-01,42,2,2,0,1,1,2,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-02,43,2,1,0,0,2,2,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-03,44,1,2,0,1,2,0,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-04,45,1,1,0,0,3,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-07,46,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-08,47,1,2,0,1,1,1,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-09,48,2,2,0,1,0,2,2,0,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-10,49,2,2,0,1,0,2,2,0,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-11,50,2,1,1,1,1,1,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-14,51,2,2,0,1,1,2,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-15,52,2,2,1,1,0,2,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-16,53,2,2,1,0,1,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-17,54,1,2,1,1,0,1,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-18,55,1,2,0,0,2,1,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-21,56,2,2,1,1,0,2,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-22,57,2,1,1,0,2,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-23,58,2,1,0,1,2,2,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-24,59,2,1,0,1,2,1,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-25,60,2,2,1,0,1,2,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-28,61,2,2,0,1,0,2,2,0,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-29,62,1,1,0,0,3,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-04-30,63,1,1,0,1,3,1,1,0,1,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-03,1,2,2,1,0,1,2,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-04,2,2,2,1,0,0,1,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-05,3,1,2,0,1,1,1,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-06,4,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-07,5,1,1,1,0,3,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-10,6,2,2,1,1,0,2,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-11,7,2,2,1,0,0,2,1,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-12,8,2,1,1,1,1,2,0,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-13,9,1,1,0,0,4,1,1,0,0,4
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-14,10,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-17,11,1,1,1,0,3,1,1,1,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-18,12,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-19,13,1,1,1,0,2,1,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-20,14,2,1,1,1,0,2,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-21,15,2,2,0,1,1,2,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-24,16,1,2,0,0,2,1,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-25,17,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-26,18,2,2,0,1,1,2,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-27,19,2,2,0,1,0,2,2,0,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-02-28,20,2,2,0,0,2,2,1,0,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-03,21,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-04,22,1,1,0,0,3,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-05,23,1,1,0,0,4,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-06,24,1,1,0,1,3,1,1,0,1,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-07,25,2,2,0,0,2,2,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-10,26,1,2,0,0,3,1,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-11,27,1,1,1,0,2,1,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-12,28,1,1,1,0,3,1,1,1,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-13,29,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-14,30,2,2,0,1,1,1,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-17,31,2,1,1,0,2,2,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-18,32,1,2,1,1,0,1,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-19,33,1,2,0,0,3,1,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-20,34,2,2,1,1,0,2,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-21,35,2,1,0,1,2,2,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-24,36,1,1,1,0,3,1,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-25,37,2,1,1,0,2,2,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-26,38,1,2,1,0,2,1,2,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-27,39,2,1,0,0,3,2,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-28,40,1,2,1,0,1,1,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-03-31,41,1,2,0,1,2,1,2,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-01,42,2,1,0,1,2,2,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-02,43,1,2,0,1,1,0,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-03,44,1,1,1,0,2,1,0,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-04,45,2,2,1,1,0,1,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-07,46,1,1,1,0,2,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-08,47,2,1,1,0,2,2,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-09,48,1,2,0,0,2,1,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-10,49,2,1,0,1,1,2,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-11,50,1,2,0,1,1,1,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-14,51,1,1,0,0,3,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-15,52,2,2,0,1,1,2,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-16,53,1,2,1,1,1,1,2,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-17,54,2,1,0,1,1,2,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-18,55,2,2,1,1,0,2,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-21,56,2,2,0,0,2,2,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-22,57,1,1,0,0,3,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-23,58,2,1,0,1,1,2,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-24,59,1,2,0,1,2,1,2,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-25,60,2,2,0,0,2,2,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-28,61,2,2,1,0,1,2,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-29,62,1,1,1,1,1,1,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","2º Ano",2025-04-30,63,1,2,1,1,1,1,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-03,1,1,1,0,0,4,1,1,0,0,4
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-04,2,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-05,3,2,2,0,1,0,2,0,0,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-06,4,2,2,1,0,1,2,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-07,5,2,1,0,0,3,2,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-10,6,2,1,1,0,1,2,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-11,7,2,2,1,1,0,2,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-12,8,1,2,1,1,0,1,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-13,9,1,2,0,0,2,1,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-14,10,1,2,1,0,1,1,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-17,11,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-18,12,2,1,0,0,2,2,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-19,13,1,2,0,0,3,1,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-20,14,2,2,0,1,1,2,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-21,15,1,1,1,0,2,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-24,16,2,1,1,0,2,2,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-25,17,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-26,18,2,1,1,0,1,2,0,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-27,19,2,1,1,1,0,2,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-02-28,20,1,2,1,0,2,1,2,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-03,21,1,2,1,0,2,1,2,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-04,22,1,2,1,0,1,1,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-05,23,1,2,1,0,1,1,2,0,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-06,24,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-07,25,2,2,0,1,1,2,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-10,26,1,1,1,1,2,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-11,27,2,2,1,1,0,2,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-12,28,2,2,1,0,1,2,2,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-13,29,1,1,0,0,3,1,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-14,30,1,2,0,1,1,1,1,0,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-17,31,1,1,1,0,2,1,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-18,32,1,1,1,1,2,0,1,1,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-19,33,1,2,0,1,1,1,2,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-20,34,1,1,0,0,3,0,1,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-21,35,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-24,36,2,1,0,1,2,2,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-25,37,1,1,0,1,2,1,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-26,38,1,1,1,1,1,1,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-27,39,2,1,1,1,1,2,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-28,40,1,2,0,0,3,1,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-03-31,41,1,2,1,0,2,1,2,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-01,42,2,1,1,0,1,1,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-02,43,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-03,44,1,1,1,0,3,1,1,1,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-04,45,2,1,1,1,0,2,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-07,46,1,1,0,1,3,1,1,0,1,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-08,47,1,2,1,1,0,1,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-09,48,2,2,0,0,1,2,2,0,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-10,49,1,1,0,1,2,1,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-11,50,1,2,0,0,3,1,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-14,51,2,1,0,1,1,2,1,0,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-15,52,1,2,1,1,0,1,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-16,53,1,1,1,0,2,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-17,54,1,1,1,0,2,1,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-18,55,2,1,0,0,3,2,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-21,56,1,1,1,0,2,1,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-22,57,2,2,0,0,2,1,0,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-23,58,2,2,1,1,0,2,2,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-24,59,1,2,0,0,3,1,2,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-25,60,2,2,0,1,0,2,2,0,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","3º Ano",2025-04-28,61,2,1,1,0,1,2,1,1,0,1
